speed_m_s,duration_s
70.0,4.475635992600321
72.33333333333333,4.545079001887807
74.66666666666667,4.5640708422489915
77.0,4.5654397894263745
79.33333333333333,4.566794058107871
81.66666666666667,4.568133113571475
84.0,4.5694563953328515
86.33333333333334,4.570763314010398
88.66666666666667,4.572053254266275
91.0,4.573325572991784
93.33333333333334,4.574579538532112
95.66666666666667,4.575814634312637
98.0,4.577029953683698
100.33333333333334,4.57822480430074
102.66666666666667,4.579398402361317
105.0,4.580550063235195
107.33333333333334,4.581678588001129
109.66666666666667,4.582783469632535
112.0,4.583863696374702
114.33333333333334,4.58491834441563
116.66666666666667,4.585946470624278
119.0,4.519179951372273
121.33333333333334,4.436406599583706
123.66666666666667,4.353529402682417
126.0,4.270548166337076
128.33333333333334,4.187462686083581
130.66666666666669,4.10427273897107
133.0,4.02097803530931
135.33333333333334,3.937578480984368
137.66666666666669,3.8540736530105777
140.0,3.7704633234528746
