uav,missile,bomb_no,heading_deg,speed_m_s,drop_time_s,delay_s,burst_time_s,duration_s,intervals_s
FY1,M1,1,179.1657083714233,123.68230337540797,0.5213735556666311,3.570598577573901,4.0919721332405325,4.484320259307784,"((4.583366818053168, 9.067687077360953),)"
FY1,M1,2,179.1657083714233,123.68230337540797,3.0861949441682235,4.772047494976868,7.858242439145092,1.5104668112064337,"((7.858242439145092, 9.368709250351525),)"
FY1,M1,3,179.1657083714233,123.68230337540797,6.68621335090172,7.838459093488959,14.524672444390678,0.0,()
FY2,M2,1,264.71265260603593,122.71445210996808,4.6981078055707295,3.4320985720642545,8.130206377634984,3.764055243389402,"((14.732308846810552, 18.496364090199954),)"
FY2,M2,2,264.71265260603593,122.71445210996808,5.69810837631507,2.6195905170874973,8.317698893402568,1.9651004271485206,"((21.852243719651906, 23.817344146800426),)"
FY2,M2,3,264.71265260603593,122.71445210996808,9.298129791227344,4.2926850052358665,13.59081479646321,0.0,()
FY3,M2,1,93.61161668723852,116.87902894941885,25.10237546759287,2.7604961286171044,27.862871596209978,2.636772538211048,"((33.2371185935907, 35.87389113180175),)"
FY3,M2,2,93.61161668723852,116.87902894941885,26.104494333322744,1.2695608540147456,27.37405518733749,1.8531963598053736,"((42.44170933133987, 44.294905691145246),)"
FY3,M2,3,93.61161668723852,116.87902894941885,27.334073906359627,0.001083161303736091,27.335157067663364,0.6061353680796557,"((43.69114491369603, 44.297280281775684),)"
FY4,M1,1,279.2715962793725,131.53335945485324,3.47306975324325,11.587824868667228,15.060894621910478,3.760372397582266,"((16.229046959383034, 19.9894193569653),)"
FY4,M1,2,279.2715962793725,131.53335945485324,7.073089240641256,13.681354339526719,20.754443580167973,0.0,()
FY4,M1,3,279.2715962793725,131.53335945485324,10.67344387999239,10.980737844549704,21.654181724542095,0.0,()
FY5,M3,1,122.36125135288391,136.81453116512793,11.569800629385355,2.4447025658872397,14.014503195272596,3.683186683592387,"((14.260059208488704, 17.94324589208109),)"
FY5,M3,2,122.36125135288391,136.81453116512793,12.587957024618964,1.2916355605273961,13.87959258514636,0.6954836579542345,"((19.496071752671597, 20.19155541062583),)"
FY5,M3,3,122.36125135288391,136.81453116512793,16.20107315028585,2.8444101261104717,19.04548327639632,0.0,()
