heading_rad,duration_s
0.0,2.497316896807675
0.08726646259971647,4.56684488901483
0.17453292519943295,2.3926310708565723
0.2617993877991494,0.0
0.3490658503988659,0.0
0.4363323129985824,0.0
0.5235987755982988,0.0
0.6108652381980153,0.0
0.6981317007977318,0.0
0.7853981633974483,0.0
0.8726646259971648,0.0
0.9599310885968813,0.0
1.0471975511965976,0.0
1.1344640137963142,0.0
1.2217304763960306,0.0
1.3089969389957472,0.0
1.3962634015954636,0.0
1.48352986419518,0.0
1.5707963267948966,0.0
1.658062789394613,0.0
1.7453292519943295,0.0
1.832595714594046,0.0
1.9198621771937625,0.0
2.007128639793479,0.0
2.0943951023931953,0.0
2.1816615649929116,0.0
2.2689280275926285,0.0
2.356194490192345,0.0
2.443460952792061,0.0
2.5307274153917776,0.0
2.6179938779914944,0.0
2.705260340591211,0.0
2.792526803190927,0.0
2.8797932657906435,0.0
2.96705972839036,0.0
3.0543261909900767,0.0
3.141592653589793,0.0
3.2288591161895095,0.0
3.316125578789226,0.0
3.4033920413889427,0.0
3.490658503988659,0.0
3.5779249665883754,0.0
3.665191429188092,0.0
3.752457891787808,0.0
3.839724354387525,0.0
3.9269908169872414,0.0
4.014257279586958,0.0
4.101523742186674,0.0
4.1887902047863905,0.0
4.276056667386107,0.0
4.363323129985823,0.0
4.4505895925855405,0.0
4.537856055185257,0.0
4.625122517784973,0.0
4.71238898038469,0.0
4.799655442984406,0.0
4.886921905584122,0.0
4.974188368183839,0.0
5.061454830783555,0.0
5.148721293383272,0.0
5.235987755982989,0.0
5.323254218582705,0.0
5.410520681182422,0.0
5.497787143782138,0.0
5.585053606381854,0.0
5.672320068981571,0.0
5.759586531581287,0.0
5.8468529941810035,0.0
5.93411945678072,0.0
6.021385919380437,0.0
6.1086523819801535,0.0
6.19591884457987,0.0
6.283185307179586,2.4973168968078596
