month,eta_total,eta_cos,eta_at,eta_sb,eta_trunc,power_kw,power_per_area_kw_m2
1,0.44718050021636085,0.7594378777325556,0.9637663475743968,0.7351110629800203,0.9464646240190351,49629.95643895304,0.3905785904809572
2,0.4857840538802337,0.7733062652373806,0.9637663475743968,0.785647010290903,0.9340278570303152,58220.77492617536,0.45818674524418607
3,0.5030577870090536,0.7858741355875167,0.9637663475743968,0.8008359519278061,0.9261745488685575,63582.256680218365,0.5003806163784332
4,0.5139728204419298,0.7948186224068153,0.9637663475743968,0.8038478991815043,0.9243707321145553,67213.09943035372,0.5289546782023687
5,0.5202452284500584,0.7979393523667969,0.9637663475743968,0.8055644213921674,0.9249097069278637,69074.09226574245,0.5436003480899771
6,0.5224432874324851,0.7983535954647094,0.9637663475743968,0.8067961381467615,0.9252839464380056,69661.18508776075,0.548220660162736
7,0.5201864891900989,0.7979188142716588,0.9637663475743968,0.8055510867771245,0.9249093594406774,69056.01017233789,0.5434580453546607
8,0.5135219262153922,0.7945331185699811,0.9637663475743968,0.8036912280877448,0.9244022062714723,67076.97481443189,0.5278834026173921
9,0.5024045476235903,0.7852852494438323,0.9637663475743968,0.800568262993538,0.9263981392100821,63355.84926611531,0.498598831847077
10,0.4826104884066448,0.771609828243962,0.9637663475743968,0.7818566916448553,0.9352534718787752,57369.981076688426,0.4514911547910446
11,0.44270324331075284,0.7582122544146662,0.9637663475743968,0.7296862415482193,0.9471231670326594,48732.89029192581,0.383518845592705
12,0.4229867018577152,0.7531337520188239,0.9637663475743968,0.7045062861456091,0.9487961188058435,44902.47896951692,0.3533742159654555
