month,eta_total,eta_cos,eta_at,eta_sb,eta_trunc,power_kw,power_per_area_kw_m2
1,0.44201221998206364,0.7602530172416901,0.9636176603567044,0.728160598931173,0.9447035568412387,49811.41953732069,0.38604076940375565
2,0.4800389052062156,0.773892142727707,0.9636176603567044,0.7776152708045307,0.932463554248562,58421.46917751381,0.45276904614387814
3,0.49731297051826956,0.7861910119118565,0.9636176603567044,0.7933186187715766,0.9243971444315795,63826.588505678556,0.49465896704044016
4,0.5081213929243509,0.7948416541805476,0.9636176603567044,0.7963375294089112,0.9225420627627671,67474.34110823896,0.5229292157979948
5,0.5145080824882734,0.797751887003232,0.9636176603567044,0.7984436521218883,0.9229450991459149,69368.00899322839,0.5376052281282352
6,0.5166670563299134,0.7980869599227163,0.9636176603567044,0.7996183915852111,0.9233393323858164,69955.11912931707,0.5421553584149379
7,0.514436043222717,0.7977339112719853,0.9636176603567044,0.7984056529788903,0.9229401434241419,69347.90960435194,0.537449456949287
8,0.5076418692130495,0.7945691575081084,0.9636176603567044,0.7961240874141987,0.9225881762938393,67332.96296438508,0.5218335287459657
9,0.4966270738106986,0.7856170219598275,0.9636176603567044,0.7930122001503797,0.9246065396117407,63594.175918392066,0.49285775890687206
10,0.47714069229406136,0.7722265100736656,0.9636176603567044,0.7745405741913054,0.9335029222126459,57594.172858174774,0.4463574620009437
11,0.43759405977871213,0.7590456275994713,0.9636176603567044,0.7226555741508809,0.9453575426545715,48914.49463810597,0.3790895605964898
12,0.4184962459521038,0.7540400041169055,0.9636176603567044,0.6983716962979133,0.9469580190982823,45109.397876470204,0.3495998874419828
