month,eta_total,eta_cos,eta_at,eta_sb,eta_trunc,power_kw,power_per_area_kw_m2
1,0.5394805268168017,0.7199357642301879,0.9651603367995298,0.9140967137146697,0.9456802249749767,29542.21451380594,0.47026766179251733
2,0.5661543552296047,0.7404403532037784,0.9651603367995298,0.9320216491563196,0.9397338129397399,33535.5011492106,0.5338347842917955
3,0.5850388693318089,0.7611400153929363,0.9651603367995298,0.9350567759736814,0.9376603796781255,36559.90733518774,0.5819787859787924
4,0.6022644754258629,0.7793399687370515,0.9651603367995298,0.936129328946903,0.9379358089472868,38939.43646251133,0.6198573139527432
5,0.6128019136822666,0.78931697898832,0.9651603367995298,0.9369372811206622,0.9392738763971579,40226.004119840734,0.6403375377243032
6,0.6161849141050908,0.7923588160987858,0.9651603367995298,0.9369627507163324,0.9400310011649718,40619.77896709568,0.6466058415647196
7,0.6126770679800688,0.7892118485227697,0.9651603367995298,0.9369160564576038,0.9392502476074513,40211.79138390826,0.6401112923258239
8,0.6014936179225616,0.77863694634725,0.9651603367995298,0.9360161307439245,0.9378416747289192,38844.94945858518,0.6183532228364403
9,0.5841050680319351,0.7600919805120643,0.9651603367995298,0.9350185715801761,0.9377044816093028,36418.59449802683,0.5797292979628594
10,0.563466427458766,0.7378354064925949,0.9651603367995298,0.9306703456082636,0.9405215304437711,33101.20236147325,0.526921400214474
11,0.5366615347935213,0.7181956127447962,0.9651603367995298,0.9118638791609183,0.9460198507424229,29142.376356557186,0.4639028391683729
12,0.5232236566889775,0.7110822833457546,0.9651603367995298,0.8998450599596731,0.9476247001092386,27355.5787896405,0.43545970693474223
