mirror_id,x_m,y_m,z_m,width_m,height_m,eta_cos,eta_at,eta_sb,eta_trunc,eta_total,power_kw
1,107.25,11.664,4.0,6.0,6.0,0.833344139412053,0.9780340506043553,1.0,0.781053162005543,0.585661644974971,21.733229125520637
2,105.36,23.191,4.0,6.0,6.0,0.8165421651955902,0.9780340758651301,1.0,0.7848324514991182,0.5766301971059034,21.398082496818272
3,102.235,34.447,4.0,6.0,6.0,0.799794354955821,0.9780340592760167,1.0,0.7886117409926934,0.5675228858390051,21.060120664795974
4,97.911,45.299,4.0,6.0,6.0,0.7833088676491027,0.9780340710778659,1.0,0.7898715041572184,0.5567129207662501,20.658975311022463
5,92.44,55.619,4.0,6.0,6.0,0.7673028775730378,0.9780340440607935,1.0,0.7928949357520786,0.5474245506168733,20.314294592400916
6,85.884,65.288,4.0,6.0,6.0,0.7519976896007301,0.9780340621012709,1.0,0.799193751574704,0.5407672645714162,20.06725037459793
7,78.322,74.191,4.0,6.0,6.0,0.7376241209906463,0.9780340383523741,1.0,0.8042328042328042,0.5337755675013234,19.807796548819304
8,69.841,82.224,4.0,6.0,6.0,0.7244105314875736,0.9780340761308763,1.0,0.8097757621567145,0.5278266850531026,19.587040372625633
9,60.542,89.293,4.0,6.0,6.0,0.7125799126539638,0.9780340666951847,1.0,0.8140589569160998,0.5219528152389422,19.36906782888823
10,50.533,95.315,4.0,6.0,6.0,0.7023443730898944,0.9780340838575353,1.0,0.817838246409675,0.5168438361100884,19.179479497540992
11,39.931,100.22,4.0,6.0,6.0,0.693895819958494,0.9780340839226944,1.0,0.8221214411690602,0.5133009446226745,19.048006874869735
12,28.862,103.95,4.0,6.0,6.0,0.687401676975768,0.9780340479860785,1.0,0.8256487780297304,0.510678684677956,18.95069782843614
13,17.453,106.461,4.0,6.0,6.0,0.6829950390410408,0.9780340760146125,1.0,0.8369866465104561,0.514372678156364,19.087777671965682
14,5.841,107.724,4.0,6.0,6.0,0.6807678152160438,0.9780340650581211,1.0,0.8641975308641975,0.5293633200094507,19.644063126079168
